snapshot_date,series,panel,unit,value,low,high,n_sources,label
2026-08-19,professional,house_prob,prob,0.8686,,,1,Professional
2026-08-19,market,house_prob,prob,0.875,,,1,Markets
2026-08-20,fundamentals,house_prob,prob,0.9491,,,1,Fundamentals
2026-08-20,polling,house_prob,prob,0.6763,,,1,Polling
2026-08-20,professional,house_prob,prob,0.8676,,,1,Professional
2026-08-20,market,house_prob,prob,0.885,,,1,Markets
2026-08-21,fundamentals,house_prob,prob,0.9491,,,1,Fundamentals
2026-08-21,polling,house_prob,prob,0.7452,,,1,Polling
2026-08-21,professional,house_prob,prob,0.8665,,,1,Professional
2026-08-21,market,house_prob,prob,0.6165,,,3,Markets
2026-08-19,professional,house_seats,seats,250.79,,,1,Professional
2026-08-20,fundamentals,house_seats,seats,250.13,223,281,1,Fundamentals
2026-08-20,polling,house_seats,seats,226.38,205,250,1,Polling
2026-08-20,professional,house_seats,seats,250.5,,,1,Professional
2026-08-21,fundamentals,house_seats,seats,250.13,223,281,1,Fundamentals
2026-08-21,polling,house_seats,seats,230.09,208,255,1,Polling
2026-08-21,professional,house_seats,seats,250.35,,,1,Professional
2026-08-21,market,house_seats,seats,229.99,,,1,Markets
2025-12-23,fundamentals,margin,pct,-1.68,,,1,Fundamentals
2026-02-20,fundamentals,margin,pct,1.36,,,1,Fundamentals
2026-04-30,fundamentals,margin,pct,1.32,,,1,Fundamentals
2026-07-31,fundamentals,margin,pct,1.78,,,1,Fundamentals
2026-08-19,polling,margin,pct,6.4841,,,4,Polling
2026-08-19,professional,margin,pct,5.73,5.73,5.73,1,Professional
2026-08-20,fundamentals,margin,pct,10.48,4.61,16.35,1,Fundamentals
2026-08-20,polling,margin,pct,6.3968,,,3,Polling
2026-08-20,professional,margin,pct,5.68,5.68,5.68,1,Professional
2026-08-21,fundamentals,margin,pct,10.48,4.61,16.35,1,Fundamentals
2026-08-21,polling,margin,pct,6.1898,,,4,Polling
2026-08-21,professional,margin,pct,5.68,5.68,5.68,1,Professional
2026-08-19,professional,senate_prob,prob,0.6203,,,1,Professional
2026-08-19,market,senate_prob,prob,0.505,,,1,Markets
2026-08-20,fundamentals,senate_prob,prob,0.6209,,,1,Fundamentals
2026-08-20,polling,senate_prob,prob,0.23,,,1,Polling
2026-08-20,professional,senate_prob,prob,0.6387,,,1,Professional
2026-08-20,market,senate_prob,prob,0.505,,,1,Markets
2026-08-21,fundamentals,senate_prob,prob,0.6209,,,1,Fundamentals
2026-08-21,polling,senate_prob,prob,0.2903,,,1,Polling
2026-08-21,professional,senate_prob,prob,0.6222,,,1,Professional
2026-08-21,market,senate_prob,prob,0.4817,,,3,Markets
2026-08-19,professional,senate_seats,seats,51.43,,,1,Professional
2026-08-20,fundamentals,senate_seats,seats,51.47,48,55,1,Fundamentals
2026-08-20,polling,senate_seats,seats,49.04,46,52,1,Polling
2026-08-20,professional,senate_seats,seats,51.49,,,1,Professional
2026-08-21,fundamentals,senate_seats,seats,51.47,48,55,1,Fundamentals
2026-08-21,polling,senate_seats,seats,49.44,47,52,1,Polling
2026-08-21,professional,senate_seats,seats,51.38,,,1,Professional
2026-08-21,market,senate_seats,seats,49.87,,,1,Markets
